GME_NAAM,lat,lng
Holwerd,53.3683,5.9006
Duiven,51.9472,6.0211
Brijdorpe,51.7189,3.8744
Heerde,52.4,6.0667
Breukelen,52.1725,4.9986
Oudenrijn,52.0819,5.06
Oudenrijn,52.083333333,5.066666666
Arcen en Velden,51.45,6.183333333
Weesperkarspel,52.3,5.033333
Westerlee,53.145,6.9869
Baarderadeel,53.133333333,5.683333333
West Maas en Waal,51.8503,5.4864
Nijefurd,52.983333333,5.433333333
Mijdrecht,52.2072,4.8594
Bovenkarspel,52.7,5.25
Breukelen-Sint Pieters,52.166666666,5.016666666
Grevenbicht,51.0417,5.7728
Franekeradeel,53.183333333,5.533333333
Lichtenvoorde,51.983333333,6.566666666
Renkum,51.966666666,5.733333333
Haren,53.166666666,6.6
Hekelingen,51.826667,4.342222
Capelle aan den IJssel,51.93567,4.57819
Alblasserdam,51.866666666,4.666666666
Liesveld,51.9156,4.8456
Niedorp,52.7572,4.8728
Termunten,53.2961,7.0436
Krimpen aan den IJssel,51.92,4.6
Zaamslag,51.3125,3.9131
Lingewaard,51.9,5.9
Lingewaal,51.8833,5.1167
Montferland,51.9333,6.15
Neder-Betuwe,51.9333,5.6333
Hardinxveld-Giessendam,51.83,4.87
Jacobswoude,52.2075,4.6853
Middelie,52.5322,5.0172
Streefkerk,51.8994,4.7419
Doornspijk,52.4192,5.8161
Hei- en Boeicop,51.9444,5.0794
Gouderak,51.9842,4.6767
Est en Opijnen,51.829147,5.297899
Wester-Koggenland,52.63,4.95
"Alem, Maren en Kessel",51.795027,5.384331
Liemeer,52.2,4.783333333
Nieuwe Niedorp,52.738041666,4.896188888
Nieuwe Niedorp,52.74,4.89861
Zuidschalkwijk,52.345833,4.641667
Balgoij,51.7803,5.7139
Vleuten,52.1081,5.015
Hoogkerk,53.21666667,6.5
Jaarsveld,51.9694,4.9772
Made,51.6764,4.7925
Reeuwijk,52.0481,4.7203
Callantsoog,52.8372,4.6967
Bruchem,51.7853,5.2367
Heesch,51.731388888,5.53
Loosduinen,52.05306,4.23472
Sexbierum,53.2183,5.4844
Ternaard,53.3806,5.9639
Nes,53.3961,6.0467
Leiderdorp,52.161666666,4.528333333
Vlist,51.9867,4.7889
Budel,51.2725,5.5744
Leerbroek,51.9089,5.0514
